country_id,co2_pc,gdp_pc,urban,life_exp,country_name,region,income_level
MNG,7.79990491634218,5838.63108083902,70.4464492797852,72.1224390243902,Mongolia,East Asia & Pacific,Upper middle income
MOZ,0.318684376705804,622.191133245967,35.7149783148407,63.611,Mozambique,Sub-Saharan Africa ,Low income
MRT,0.961166094335404,2127.9576285973,59.7142464747058,68.484,Mauritania,Sub-Saharan Africa ,Lower middle income
MUS,3.46174699494733,11269.9684462139,39.0039901092226,73.4121951219512,Mauritius,Sub-Saharan Africa ,Upper middle income
MWI,0.222924211075164,633.214767978695,16.9748746665356,67.353,Malawi,Sub-Saharan Africa ,Low income
MYS,8.03895132928611,11386.0395636528,76.4434752105739,76.657,Malaysia,East Asia & Pacific,Upper middle income
NAM,1.21960315143456,4225.99102418102,49.9545837830821,67.385,Namibia,Sub-Saharan Africa ,Lower middle income
NCL,16.7820057267051,33701.8923322781,67.751522311337,78.766,New Caledonia,East Asia & Pacific,High income
NER,0.120906578003627,647.930108509567,17.7506873295237,61.183,Niger,Sub-Saharan Africa ,Low income
NGA,0.552339272252252,2138.76383718757,62.1746763155343,54.462,Nigeria,Sub-Saharan Africa ,Lower middle income
NIC,0.811432301333619,2609.44491147975,59.1250953674316,74.947,Nicaragua,Latin America & Caribbean ,Lower middle income
NLD,6.87570596534106,63515.6030780019,95.3221682092129,81.8634146341464,Netherlands,Europe & Central Asia,High income
NOR,7.53753758650308,90984.4087141111,83.0718560702166,83.0121951219512,Norway,Europe & Central Asia,High income
NPL,0.519690203752101,1382.38300895424,66.5432933453944,70.354,Nepal,South Asia,Lower middle income
NRU,0.0,13602.6372112893,100.0,62.109,Naoero,East Asia & Pacific,High income
NZL,6.11076923076923,49302.341876493,83.8898991461229,81.7585365853659,New Zealand,East Asia & Pacific,High income
OMN,18.9600910547646,21027.7384572657,79.5702973228932,80.031,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income
PAK,0.843982651709012,1360.32417758419,38.8191861872791,67.649,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
PAN,2.85705058290883,18797.1933894611,65.8601271176084,79.594,Panama,Latin America & Caribbean ,High income
PER,1.92281618030482,7919.04634828547,84.7810255849745,77.74,Peru,Latin America & Caribbean ,Upper middle income
PHL,1.41396992471112,3804.08274131718,55.1242716168851,69.833,Philippines,East Asia & Pacific,Upper middle income
PLW,78.8571106222147,15578.3497630733,79.1531991438847,69.269,Palau,East Asia & Pacific,High income
PNG,0.529181246501922,2966.06455045333,15.0581017891206,66.134,Papua New Guinea,East Asia & Pacific,Lower middle income
POL,7.64977784033642,22145.2660647429,59.8859561370214,78.2585365853659,Poland,Europe & Central Asia,High income
PRI,4.56646088980752,36980.7653928068,94.1774359275881,81.69,Puerto Rico (US),Latin America & Caribbean ,High income
PRT,3.53665954067309,27634.6183139773,61.2048652633664,82.3292682926829,Portugal,Europe & Central Asia,High income
PRY,1.1312441318464,6303.26495017292,69.3466081733694,73.844,Paraguay,Latin America & Caribbean ,Upper middle income
PYF,3.30181631912578,21832.2831795569,61.6967135028569,84.07,French Polynesia,East Asia & Pacific,High income
QAT,48.6426368357008,80195.8746508549,99.2835325193835,82.368,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income
ROU,3.68569180458046,18244.4186876321,52.1645747011867,76.4048780487805,Romania,Europe & Central Asia,High income
RUS,13.5462339145189,13986.9951171875,74.9805047873279,73.2546341463415,Russian Federation,Europe & Central Asia,High income
RWA,0.163983285357073,1061.05788154076,28.8555310645477,67.785,Rwanda,Sub-Saharan Africa ,Low income
SAU,18.8540744665469,36156.8562500172,84.2962388315415,78.732,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income
SDN,0.433700830155536,797.283447265625,34.7960076976764,66.331,Sudan,Sub-Saharan Africa ,Low income
SEN,0.758785485197598,1698.03387300843,54.6992276190794,68.683,Senegal,Sub-Saharan Africa ,Lower middle income
SGP,9.48033745839563,86382.5900499252,100.0,83.0975609756098,Singapore,East Asia & Pacific,High income
SLB,0.374747657827139,1882.64394148042,30.0088821088389,70.528,Solomon Islands,East Asia & Pacific,Lower middle income
SLE,0.16670385905723,758.329137301888,44.809324991151,61.786,Sierra Leone,Sub-Saharan Africa ,Low income
SLV,1.46387486797945,5319.7195268688,74.6080675149903,72.099,El Salvador,Latin America & Caribbean ,Upper middle income
SOM,0.0462780008186892,596.885985135589,54.0714435506882,58.816,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income
STP,0.63065521438379,2990.6606143535,68.6043921103568,69.718,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income
SUR,3.96892282544054,5521.97602122638,65.7562408447266,73.631,Suriname,Latin America & Caribbean ,Upper middle income
SVK,5.73978115774848,24614.8734642794,53.190805019646,78.119512195122,Slovak Republic,Europe & Central Asia,High income
SVN,5.95087577654104,32660.4753581346,55.5378927789875,81.9292682926829,Slovenia,Europe & Central Asia,High income
SWE,3.4800778844701,54950.2834725622,88.631216160938,83.309756097561,Sweden,Europe & Central Asia,High income
SWZ,0.876387437363166,3755.52111232464,25.8081878500755,64.123,Eswatini,Sub-Saharan Africa ,Lower middle income
SYC,7.00909219941055,18130.5297135548,45.0971081321658,75.419512195122,Seychelles,Sub-Saharan Africa ,High income
TCA,4.78808606433179,35470.2151608295,93.9324513656818,78.008,Turks and Caicos Islands,Latin America & Caribbean ,High income
TCD,0.150566300727613,949.991054236266,26.3305395171046,55.069,Chad,Sub-Saharan Africa ,Low income
TGO,0.307799874754525,1182.32951436696,43.2496853032436,62.74,Togo,Sub-Saharan Africa ,Lower middle income
THA,3.83577489383729,7210.54130832685,60.9341926574707,76.412,Thailand,East Asia & Pacific,Upper middle income
TJK,0.897072214775281,1178.47990060249,26.1890127571429,71.79,Tajikistan,Europe & Central Asia,Lower middle income
